lead_id,age_group,service_interest,lead_source,budget_range,previous_interaction,response_time_hours,pages_visited,email_opens,engagement_score,converted
VX-101336,25-34,Web Development,Referral,Low,no,5.3,5,2,41.0,1
VX-100093,25-34,App Development,Referral,Medium,No,9.9,6,1,70.0,0
VX-100388,18-24,App Development,Website Form,Medium,No,16.1,3,0,30.0,0
VX-100039,35-44,Branding,Website Form,Medium,No,9.4,5,2,57.0,1
VX-100043,25-34, Web Development ,Website Form,Medium,No,7.4,4,0,35.0,0
VX-100194,25-34, App Development ,Referral,Low,No,7.8,4,3,51.0,0
VX-100728,25-34, Web Development ,Paid Ads,Medium,No,9.8,5,1,47.0,0
VX-101334,55+,Digital Marketing,Referral,High,No,14.3,4,1,45.0,0
VX-100837,55+, Digital Marketing ,Website Form,low,Yes,,10,3,92.0,1
VX-100298,45-54,Branding,Website Form,High,No,0.7,2,0,20.0,0
VX-101291,35-44,Digital Marketing,Paid Ads,Medium,Yes,9.4,6,4,66.0,1
VX-100602,45-54,Branding,Referral,Low,No,9.8,4,0,40.0,0
VX-101329,25-34,Branding,Email Campaign,High,No,9.9,5,2,61.0,0
VX-100135,18-24,Digital Marketing,Social Media,Low,No,13.5,4,3,50.0,0
VX-100053,35-44,Branding,Social Media,Medium,No,8.0,2,3,40.0,0
VX-100317,35-44, SEO ,Paid Ads,Low,No,8.8,2,6,54.0,0
VX-101267,55+,Web Development,Paid Ads,Low,Yes,27.8,8,5,86.0,1
VX-100938,45-54,SEO,Paid Ads,Low,No,24.2,2,2,22.0,0
VX-100700,25-34,App Development,Social Media,Medium,Yes,9.7,4,6,78.0,0
VX-100925,25-34, Branding ,Paid Ads,,No,9.0,1,2,22.0,0
VX-101026,55+,Web Development,Social Media,Low,No,1.7,3,0,38.0,0
VX-101182,18-24,Web Development,Referral,Medium,No,4.0,6,3,70.0,1
VX-100304,45-54,Digital Marketing,Paid Ads,Low,No,34.7,3,2,35.0,0
VX-100472,18-24,Branding,Paid Ads,Low,Yes,3.2,4,4,62.0,1
VX-100201,55+,Web Development,Referral,Medium,No,9.3,4,4,61.0,1
VX-100539,45-54,Web Development,Referral,Medium,NO,1.7,2,1,29.0,0
VX-100633,25-34,Digital Marketing,Website Form,Medium,yes,17.1,3,3,59.0,1
VX-100073,25-34, Digital Marketing ,Website Form,High,No,25.5,3,1,28.0,0
VX-100458,45-54,Web Development,Referral,Medium,No,12.8,8,3,75.0,0
VX-100828,45-54,Web Development,Paid Ads,Medium,No,14.6,5,2,70.0,0
VX-101045,25-34,SEO,Referral,Medium,Yes,6.7,5,6,79.0,0
VX-100316,25-34,Digital Marketing,Website Form,Medium,No,10.4,7,3,56.0,1
VX-100292,55+,Web Development,Paid Ads,High,No,17.5,3,3,40.0,0
VX-100807,25-34,Digital Marketing,Website Form,Medium,Yes,4.5,4,5,67.0,0
VX-100532,25-34,App Development,Website Form,low,no,9.8,3,4,44.0,0
VX-101024,35-44,Branding,Paid Ads,Medium,Yes,,5,2,59.0,1
VX-100677,35-44,Web Development,Email Campaign,Medium,no,6.7,2,6,68.0,1
VX-101348,25-34,Digital Marketing,Social Media,Medium,No,12.2,3,3,64.0,0
VX-101363,18-24,Digital Marketing,Social Media,Low,No,14.1,3,1,49.0,0
VX-100319,55+,App Development,Social Media,Low,Yes,6.0,4,2,47.0,0
VX-100710,55+,Digital Marketing,Email Campaign,Low,Yes,75.1,1,4,47.0,0
VX-101081,45-54,Web Development,Email Campaign,Low,No,20.3,5,1,55.0,0
VX-100809,55+,Web Development,Website Form,Medium,yes,12.1,6,3,74.0,0
VX-101041,35-44,Web Development,Paid Ads,Low,No,5.1,3,4,,1
VX-101341,45-54,App Development,Referral,Medium,no,19.6,4,2,51.0,0
VX-100977,25-34,SEO,Website Form,Low,No,12.8,4,2,40.0,0
VX-100936,55+,App Development,Website Form,Low,Yes,21.6,6,3,70.0,0
VX-100216,18-24,Web Development,Email Campaign,Medium,Yes,21.2,4,4,47.0,0
VX-101371,55+,App Development,Paid Ads,Low,No,24.1,4,3,63.0,0
VX-101100,18-24,Web Development,Website Form,Medium,Yes,8.2,8,3,73.0,1
VX-100368,25-34,Web Development,Website Form,Medium,No,8.8,4,5,69.0,0
VX-100926,25-34,Web Development,Email Campaign,Medium,Yes,12.6,5,4,72.0,1
VX-100829,25-34, SEO ,Website Form,Low,Yes,3.0,4,2,51.0,0
VX-100279,45-54,Digital Marketing,Website Form,High,yes,9.1,2,0,34.0,1
VX-101354,45-54,Branding,Referral,Medium,no,24.6,6,1,59.0,0
VX-100041,45-54,Web Development,Social Media,High,No,24.5,3,4,47.0,1
VX-100563,35-44,Web Development,Referral,Medium,No,12.9,3,6,67.0,1
VX-101049,25-34,SEO,Social Media,High,Yes,2.8,4,4,41.0,0
VX-100026,25-34,Web Development,Social Media,Medium,No,11.0,1,0,18.0,0
VX-101084,55+,App Development,Email Campaign,Low,Yes,22.0,6,4,79.0,0
VX-101346,25-34, Web Development ,Website Form,High,No,7.8,2,1,34.0,0
VX-100262,25-34, App Development ,Website Form,Low,No,6.5,3,3,55.0,0
VX-100431,45-54,Branding,Website Form,Medium,NO,7.1,5,1,55.0,1
VX-101177,25-34,App Development,Website Form,Medium,no,20.2,4,2,41.0,0
VX-100311,25-34,Digital Marketing,Website Form,medium,Yes,8.0,3,2,51.0,0
VX-100372,25-34,SEO,Paid Ads,Low,No,10.3,1,1,20.0,0
VX-101356,35-44,App Development,Email Campaign,Low,Yes,5.6,4,3,55.0,1
VX-100365,25-34,Web Development,Paid Ads,Medium,Yes,23.8,3,7,62.0,1
VX-100820,18-24,Digital Marketing,Paid Ads,High,Yes,21.0,6,5,74.0,0
VX-100325,35-44,Web Development,Website Form,,Yes,2.5,5,0,41.0,1
VX-100220,25-34, Web Development ,Social Media,Low,No,12.2,6,0,50.0,0
VX-100461,25-34,Branding,Paid Ads,High,No,-18.2,4,0,37.0,0
VX-100984,25-34,Web Development,Referral,Low,No,8.3,4,3,45.0,0
VX-101006,55+, SEO ,Paid Ads,Low,No,28.0,1,1,12.0,0
VX-101017,45-54,Digital Marketing,Social Media,Low,No,9.2,3,2,36.0,0
VX-101141,45-54,Digital Marketing,Website Form,Low,No,1.3,4,0,34.0,0
VX-100349,,Digital Marketing,Website Form,Low,No,7.7,2,2,39.0,0
VX-100320,45-54,Web Development,Website Form,,No,17.5,2,2,30.0,0
VX-100916,18-24,Web Development,Paid Ads,Medium,No,4.3,5,1,56.0,0
VX-101344,55+,Digital Marketing,Social Media,Medium,No,13.4,6,3,54.0,0
VX-100976,25-34,App Development,Paid Ads,Low,No,12.1,3,2,45.0,0
VX-101228,55+,Digital Marketing,Social Media,High,No,9.8,5,1,44.0,0
VX-100796,18-24, Web Development ,Email Campaign,Low,No,24.8,3,1,55.0,0
VX-100694,45-54,Branding,Website Form,Medium,Yes,12.1,10,3,91.0,1
VX-100949,25-34,Web Development,Website Form,Low,Yes,9.0,8,9,100.0,1
VX-101234,25-34,Digital Marketing,Website Form,Medium,No,1.1,4,3,54.0,1
VX-101220,,App Development,Website Form,Medium,No,,3,0,29.0,0
VX-101035,35-44,Branding,Social Media,Medium,Yes,10.1,6,3,60.0,1
VX-100670,,App Development,Social Media,Medium,No,31.9,4,4,68.0,0
VX-101233,35-44, SEO ,Referral,Medium,No,6.1,4,5,58.0,0
VX-101063,35-44,SEO,Social Media,high,No,1.3,2,2,32.0,0
VX-101007,,Digital Marketing,Paid Ads,High,Yes,9.8,8,2,76.0,0
VX-101319,45-54,SEO,Social Media,Medium,no,28.7,4,4,60.0,1
VX-100044,45-54,Web Development,Website Form,Medium,No,6.9,4,2,,1
VX-100148,25-34,Digital Marketing,Email Campaign,Medium,no,16.8,3,0,34.0,1
VX-101128,35-44,App Development,Website Form,medium,No,17.2,2,3,47.0,0
VX-101186,25-34,Digital Marketing,Website Form,Low,No,,3,1,33.0,0
VX-100790,25-34,Web Development,Paid Ads,Low,Yes,8.2,4,6,75.0,0
VX-100066,35-44,Digital Marketing,Social Media,Medium,yes,39.1,5,4,64.0,0
VX-100562,45-54,SEO,Referral,High,Yes,5.4,8,4,,0
VX-100599,35-44,Digital Marketing,Paid Ads,medium,No,29.9,3,0,21.0,0
VX-100685,25-34,Digital Marketing,Paid Ads,High,No,28.2,5,0,50.0,0
VX-100175,18-24, Web Development ,Paid Ads,Low,Yes,23.2,7,4,66.0,0
VX-100195,25-34, SEO ,Social Media,Medium,No,16.4,3,2,44.0,0
VX-100503,35-44,Web Development,Email Campaign,Low,No,7.9,6,2,63.0,0
VX-101272,25-34,Digital Marketing,Social Media,High,No,20.3,5,6,78.0,1
VX-100128,18-24,Web Development,Social Media,high,No,2.7,4,0,22.0,1
VX-100046,25-34,Branding,Website Form,High,No,7.7,3,1,39.0,0
VX-100789,35-44,Branding,Social Media,Low,Yes,15.9,6,6,76.0,0
VX-101188,18-24,Digital Marketing,Email Campaign,Medium,No,25.0,6,4,51.0,1
VX-100655,25-34,Digital Marketing,Paid Ads,High,No,57.5,4,3,58.0,0
VX-100169,55+,Digital Marketing,Website Form,Medium,No,6.0,7,2,71.0,1
VX-100253,25-34,Web Development,Paid Ads,Medium,YES,15.6,8,5,71.0,1
VX-101245,25-34,Branding,Website Form,Low,Yes,2.8,7,1,62.0,1
VX-100356,45-54,Web Development,Website Form,Medium,No,14.5,3,2,49.0,1
VX-101261,25-34,Digital Marketing,Paid Ads,Low,No,14.2,2,0,29.0,0
VX-101134,55+,Branding,Referral,Low,Yes,12.2,5,4,52.0,1
VX-100856,35-44,Branding,Website Form,Medium,No,2.9,4,2,52.0,0
VX-100665,35-44,Branding,Paid Ads,Low,No,13.6,4,4,58.0,1
VX-101218,35-44,App Development,Website Form,Low,Yes,3.9,4,2,53.0,0
VX-100083,25-34,Web Development,Social Media,Low,No,3.6,3,0,22.0,0
VX-100917,18-24,App Development,Paid Ads,Medium,No,11.1,6,2,64.0,0
VX-100473,18-24,Branding,Paid Ads,Low,Yes,10.8,8,5,86.0,1
VX-100002,,Branding,Website Form,Low,No,3.2,4,2,61.0,0
VX-100841,45-54,Web Development,Website Form,Low,No,,5,3,50.0,0
VX-100237,45-54,Branding,Website Form,Low,NO,25.8,5,1,57.0,0
VX-100288,35-44,SEO,Referral,,No,2.6,3,2,52.0,1
VX-100067,25-34,Web Development,Referral,High,No,23.3,5,2,57.0,0
VX-100397,25-34,Digital Marketing,Website Form,Low,No,8.7,4,0,318.0,0
VX-100025,25-34,Digital Marketing,Paid Ads,High,no,12.5,5,2,59.0,1
VX-100189,25-34,Web Development,Referral,Medium,No,6.4,1,1,37.0,1
VX-101339,25-34,SEO,Paid Ads,Low,Yes,2.8,6,5,86.0,1
VX-100353,35-44,App Development,Website Form,Medium,Yes,7.5,2,2,42.0,1
VX-100905,35-44,Digital Marketing,Website Form,medium,Yes,8.4,8,1,69.0,1
VX-101050,35-44,SEO,Social Media,Medium,No,9.0,3,2,39.0,0
VX-100699,25-34,Web Development,Paid Ads,Medium,No,8.5,2,3,35.0,1
VX-100933,45-54,Web Development,Referral,Medium,YES,2.1,8,4,81.0,1
VX-101018,18-24,Web Development,Paid Ads,Low,YES,25.0,9,4,88.0,1
VX-100333,45-54,Web Development,Website Form,Medium,Yes,4.5,5,3,55.0,1
VX-100326,45-54,Digital Marketing,Referral,Medium,No,3.4,4,1,44.0,1
VX-100080,35-44,Digital Marketing,Website Form,Low,no,14.8,9,1,,0
VX-100344,45-54,SEO,Paid Ads,low,Yes,45.1,5,4,70.0,0
VX-100863,35-44, Web Development ,Paid Ads,Low,Yes,43.3,5,5,67.0,0
VX-100309,18-24,Digital Marketing,Email Campaign,Low,Yes,9.3,5,3,57.0,0
VX-101121,18-24,SEO,Email Campaign,Medium,No,39.1,4,2,41.0,0
VX-101053,18-24,App Development,Social Media,,No,14.1,6,3,64.0,1
VX-100327,35-44,App Development,Website Form,Medium,No,7.2,3,0,35.0,0
VX-100130,25-34,Digital Marketing,Referral,Low,Yes,20.7,4,2,52.0,0
VX-101268,,SEO,Email Campaign,Medium,NO,24.0,2,1,52.0,0
VX-101044,18-24,Digital Marketing,Email Campaign,Medium,No,46.0,2,2,31.0,0
VX-100181,45-54,Digital Marketing,Social Media,Low,No,12.9,7,2,63.0,1
VX-101393,18-24,Branding,Paid Ads,Low,No,18.1,3,4,56.0,0
VX-100354,25-34, Digital Marketing ,Website Form,Low,No,12.7,4,1,55.0,0
VX-100277,35-44,Digital Marketing,Referral,Low,Yes,8.3,4,2,42.0,1
VX-100662,25-34,Digital Marketing,Website Form,Low,yes,7.7,8,3,76.0,1
VX-100092,25-34,SEO,Referral,Low,No,4.5,2,2,40.0,1
VX-100641,45-54,App Development,Website Form,Medium,Yes,14.6,6,5,88.0,1
VX-100294,45-54,SEO,Social Media,Low,Yes,11.5,7,2,,0
VX-100394,18-24,Branding,Paid Ads,Low,No,11.7,2,3,50.0,0
VX-100740,18-24,Branding,Email Campaign,High,NO,43.1,2,1,41.0,0
VX-100324,45-54,Digital Marketing,Website Form,Medium,No,7.6,3,2,49.0,0
VX-100943,25-34, Digital Marketing ,Referral,High,No,13.4,4,2,52.0,1
VX-101217,35-44,App Development,Social Media,High,Yes,22.7,5,3,74.0,1
VX-100489,35-44,Digital Marketing,Social Media,Medium,no,12.9,2,3,48.0,0
VX-101068,18-24,SEO,Paid Ads,High,Yes,10.4,7,1,60.0,1
VX-100659,25-34,Web Development,Paid Ads,Low,Yes,11.5,3,4,48.0,1
VX-100061,25-34,SEO,Referral,high,Yes,17.4,6,3,69.0,1
VX-100255,35-44,Digital Marketing,Referral,Low,No,6.8,6,2,57.0,1
VX-100348,35-44,Digital Marketing,Paid Ads,Medium,NO,19.1,1,2,29.0,0
VX-101239,18-24,Web Development,Paid Ads,Low,No,13.3,4,4,70.0,0
VX-100692,25-34,SEO,Paid Ads,Medium,No,20.3,3,4,54.0,0
VX-100217,,SEO,Website Form,Low,Yes,14.5,7,6,92.0,1
VX-101223,35-44,Branding,Email Campaign,Low,Yes,7.5,7,7,100.0,1
VX-100060,35-44,App Development,Social Media,High,No,44.9,3,2,,1
VX-100576,45-54,Digital Marketing,Website Form,Medium,no,6.2,3,1,36.0,1
VX-100250,35-44,Digital Marketing,Email Campaign,High,No,6.0,5,0,46.0,1
VX-101359,25-34,Digital Marketing,Website Form,Low,No,8.6,3,0,35.0,0
VX-101159,45-54, Web Development ,Social Media,High,Yes,33.5,6,1,64.0,1
VX-100851,25-34,App Development,Website Form,Medium,Yes,22.2,4,0,31.0,1
VX-100369,45-54,App Development,Referral,Medium,No,8.9,2,1,26.0,0
VX-100038,25-34,Branding,Social Media,Medium,Yes,,8,4,84.0,0
VX-100464,35-44,SEO,Social Media,Medium,Yes,5.5,7,0,37.0,1
VX-100296,55+,Web Development,Website Form,Medium,Yes,22.1,6,4,86.0,1
VX-100077,35-44,Branding,Social Media,High,No,8.5,2,2,41.0,0
VX-100744,35-44,Digital Marketing,Social Media,Medium,Yes,-6.8,3,4,72.0,1
VX-100484,18-24,Digital Marketing,Website Form,High,Yes,3.5,4,4,68.0,1
VX-100980,55+, App Development ,Website Form,,No,6.2,3,4,52.0,0
VX-101289,35-44,Digital Marketing,Website Form,Medium,No,2.7,2,1,31.0,0
VX-100544,25-34,App Development,Referral,Low,No,13.2,3,3,37.0,0
VX-100031,55+,SEO,Social Media,Low,Yes,28.8,6,4,72.0,0
VX-100867,45-54,Digital Marketing,Website Form,Low,No,13.9,3,1,,0
VX-101198,25-34, Branding ,Social Media,Medium,No,26.5,3,1,36.0,0
VX-100172,25-34,SEO,Website Form,Medium,YES,9.5,8,2,77.0,1
VX-100371,25-34,App Development,Paid Ads,High,yes,2.3,8,5,80.0,1
VX-100095,35-44,SEO,Website Form,Medium,Yes,2.1,6,7,86.0,1
VX-100069,25-34, Web Development ,Website Form,Medium,No,10.5,2,5,57.0,1
VX-101303,25-34,App Development,Social Media,Medium,Yes,,7,3,71.0,1
VX-101368,25-34,App Development,Referral,Low,No,,2,2,35.0,0
VX-100898,25-34,Web Development,Website Form,High,No,9.2,4,3,68.0,1
VX-100409,55+,Web Development,Website Form,High,No,10.7,3,1,43.0,0
VX-100664,25-34,Digital Marketing,Paid Ads,Medium,No,20.4,4,2,40.0,0
VX-101304,45-54,SEO,Email Campaign,High,NO,32.4,5,2,59.0,0
VX-100553,45-54,Branding,Social Media,Medium,Yes,12.8,8,2,69.0,0
VX-101301,35-44,Digital Marketing,Paid Ads,Medium,No,3.9,6,4,74.0,1
VX-101077,35-44,Web Development,Email Campaign,Medium,No,11.1,3,1,37.0,0
VX-100614,25-34,Digital Marketing,Social Media,Medium,Yes,6.2,7,2,,1
VX-100144,25-34,Digital Marketing,Social Media,Medium,No,19.5,7,2,,1
VX-100300,45-54, Branding ,Email Campaign,Low,No,33.2,2,3,38.0,0
VX-100691,45-54,App Development,Website Form,Low,No,6.3,6,2,67.0,0
VX-101367,18-24,SEO,Social Media,Low,Yes,16.3,4,7,72.0,0
VX-100672,55+,Digital Marketing,Referral,Medium,No,,4,2,49.0,1
VX-100612,55+,Web Development,Referral,Medium,no,4.2,5,2,58.0,0
VX-100476,25-34,Digital Marketing,Social Media,low,no,7.0,3,2,,0
VX-101343,35-44,App Development,Social Media,Medium,No,22.9,3,2,39.0,0
VX-100569,35-44,Digital Marketing,Social Media,Medium,no,8.7,4,1,37.0,1
VX-100577,35-44,Branding,Email Campaign,low,Yes,2.1,5,3,61.0,1
VX-101032,35-44,SEO,Social Media,Medium,No,23.3,3,3,51.0,0
VX-100656,45-54,Branding,Email Campaign,Medium,No,14.6,2,1,46.0,0
VX-101299,25-34,App Development,Email Campaign,Low,No,45.7,6,3,59.0,0
VX-101392,,App Development,Referral,Medium,No,25.7,5,1,52.0,0
VX-100271,25-34,SEO,Email Campaign,Low,Yes,12.2,5,4,56.0,1
VX-100795,25-34,App Development,Email Campaign,Low,No,39.2,1,0,27.0,0
VX-100982,35-44,Web Development,Email Campaign,Low,NO,,2,3,57.0,1
VX-101148,35-44,Digital Marketing,Email Campaign,Medium,No,20.5,3,2,59.0,0
VX-100695,35-44,Digital Marketing,Paid Ads,Medium,No,16.8,4,0,50.0,0
VX-100794,18-24,SEO,Website Form,Medium,No,3.7,7,2,66.0,1
VX-100726,25-34,Digital Marketing,Website Form,Low,No,2.4,5,2,42.0,1
VX-100344,45-54,SEO,Paid Ads,low,Yes,45.1,5,4,70.0,0
VX-100915,55+,Digital Marketing,Paid Ads,High,No,60.2,5,2,53.0,0
VX-101070,45-54,Digital Marketing,Social Media,High,No,2.9,5,0,53.0,1
VX-100155,35-44,App Development,Social Media,Medium,No,10.4,5,0,55.0,1
VX-101192,45-54,SEO,Website Form,High,No,6.0,3,2,,1
VX-100057,35-44,Digital Marketing,Social Media,Medium,No,16.6,4,0,27.0,0
VX-100013,45-54,Branding,Website Form,Low,No,26.1,7,1,55.0,0
VX-100736,25-34, Digital Marketing ,Website Form,low,No,7.5,1,2,26.0,0
VX-101112,35-44,Web Development,Email Campaign,Low,Yes,11.9,7,1,59.0,1
VX-101093,25-34,Branding,Referral,Medium,No,9.7,3,5,55.0,1
VX-100402,45-54,Web Development,Email Campaign,High,No,34.2,3,1,30.0,0
VX-100434,18-24,Web Development,Website Form,Medium,No,4.1,6,1,55.0,1
VX-101369,25-34,Branding,Social Media,High,No,29.6,3,1,36.0,0
VX-101213,25-34,App Development,Website Form,Low,Yes,10.5,7,3,77.0,1
VX-100346,55+,App Development,Paid Ads,High,yes,41.2,9,7,100.0,1
VX-100632,18-24,Digital Marketing,Email Campaign,Medium,no,25.6,4,1,44.0,0
VX-100101,35-44,Branding,Email Campaign,Medium,Yes,4.9,1,7,37.0,0
VX-100104,45-54,App Development,Social Media,low,No,32.7,5,1,51.0,0
VX-100508,35-44,App Development,Referral,Low,NO,8.7,2,3,44.0,1
VX-100751,,Web Development,Referral,Medium,No,0.5,4,1,22.0,1
VX-101025,25-34,App Development,Referral,Medium,No,10.4,5,0,47.0,0
VX-100658,35-44,Web Development,Website Form,Low,No,5.0,3,2,57.0,0
VX-100086,35-44,Branding,Website Form,High,Yes,1.8,7,1,65.0,1
VX-100427,45-54,Digital Marketing,Website Form,Low,Yes,17.4,6,5,77.0,1
VX-101027,25-34,SEO,Social Media,Low,No,3.2,3,3,47.0,0
VX-100260,25-34,Web Development,Referral,Medium,No,6.7,3,1,33.0,0
VX-100098,18-24, Digital Marketing ,Paid Ads,Medium,No,21.7,3,2,42.0,0
VX-101337,35-44,Digital Marketing,Paid Ads,Medium,No,8.8,7,2,55.0,0
VX-101340,18-24,Web Development,Social Media,High,No,10.2,7,6,100.0,0
VX-100454,18-24,App Development,Website Form,Medium,Yes,8.9,5,3,59.0,0
VX-100707,45-54,Branding,Paid Ads,Low,No,36.5,3,4,40.0,0
VX-101206,35-44,SEO,Referral,Low,No,19.1,2,4,51.0,1
VX-100016,, SEO ,Social Media,Medium,No,15.9,1,0,25.0,0
VX-101331,35-44,Digital Marketing,Paid Ads,High,No,3.3,4,1,41.0,1
VX-100703,45-54,Branding,Paid Ads,High,Yes,17.4,2,5,58.0,0
VX-101073,55+,Digital Marketing,Website Form,High,No,9.7,4,1,41.0,0
VX-100005,55+,Digital Marketing,Website Form,Medium,No,8.3,3,0,33.0,0
VX-100775,45-54,SEO,Social Media,Medium,Yes,16.8,5,3,74.0,0
VX-100561,25-34,Digital Marketing,Social Media,Medium,No,13.5,3,3,65.0,1
